Time;;ID;V1;V2;V3;I1;I2;I3;I4;O1;O2;Vfv;Ifv;Pfv;Pbat
18/07/2023;15:06:32;21;13607;5124;16027;-3;100;24;734;21241;802;16.027;0.734;11.763818;-0.040821
18/07/2023;15:16:32;21;13497;4819;15807;-3;474;26;780;21131;834;15.807;0.78;12.32946;-0.040491
18/07/2023;15:26:32;21;13552;4819;15543;-3;481;27;823;21076;866;15.543;0.823;12.791889;-0.040656
18/07/2023;15:36:32;21;13607;4819;15543;-3;483;26;848;21021;893;15.543;0.848;13.180464;-0.040821
18/07/2023;15:46:32;21;13607;4819;15323;-3;484;28;890;20911;921;15.323;0.89;13.63747;-0.040821
18/07/2023;15:56:32;21;13651;4819;15378;-3;484;26;911;20966;948;15.378;0.911;14.009358;-0.040953
18/07/2023;16:06:32;21;13651;4819;15587;-3;483;27;913;20856;971;15.587;0.913;14.230931;-0.040953
18/07/2023;16:16:32;21;13706;4819;15543;-3;484;27;949;20966;992;15.543;0.949;14.750307;-0.041118
18/07/2023;16:26:32;21;13706;4880;15587;-3;484;26;964;20801;1009;15.587;0.964;15.025868;-0.041118
18/07/2023;16:36:32;21;13761;4819;15488;-3;484;27;983;20856;1025;15.488;0.983;15.224704;-0.041283
18/07/2023;16:46:32;21;13761;4880;15488;-3;484;26;997;20757;1041;15.488;0.997;15.441536;-0.041283
18/07/2023;16:56:32;21;13706;4880;15587;-3;485;26;982;20702;1053;15.587;0.982;15.306434;-0.041118
18/07/2023;17:06:32;21;13761;4880;15862;-3;485;26;985;20856;1059;15.862;0.985;15.62407;-0.041283
18/07/2023;17:16:32;21;13761;4880;15587;-2;480;27;1008;20757;1070;15.587;1.008;15.711696;-0.027522
18/07/2023;17:26:32;21;13816;4880;15697;-1;485;27;1019;20801;1072;15.697;1.019;15.995243;-0.013816
18/07/2023;17:36:32;21;13761;4880;15642;-2;473;26;1014;20801;1075;15.642;1.014;15.860988;-0.027522
18/07/2023;17:46:32;21;13816;4880;15587;-3;475;26;1014;20801;1075;15.587;1.014;15.805218;-0.041448
18/07/2023;17:56:32;21;13816;4880;15543;-3;480;27;1034;20801;1074;15.543;1.034;16.071462;-0.041448
18/07/2023;18:06:32;21;13816;4880;15862;-2;479;26;1006;20856;1074;15.862;1.006;15.957172;-0.027632
18/07/2023;18:16:32;21;13816;4880;15587;-2;480;27;1010;20911;1064;15.587;1.01;15.74287;-0.027632
18/07/2023;18:26:32;21;13871;4880;15752;-2;480;27;982;20911;1053;15.752;0.982;15.468464;-0.027742
18/07/2023;18:36:32;21;13926;4880;15587;-2;471;26;1007;20966;1040;15.587;1.007;15.696109;-0.027852
18/07/2023;18:46:32;21;13926;4880;17314;-2;471;27;852;20966;1027;17.314;0.852;14.751528;-0.027852
18/07/2023;18:56:32;21;13926;4880;18920;-2;468;26;671;21021;1013;18.92;0.671;12.69532;-0.027852
18/07/2023;19:06:32;21;13981;4880;19250;-2;466;26;588;20911;993;19.25;0.588;11.319;-0.027962
18/07/2023;19:16:32;21;14036;4880;19569;-2;465;27;528;20966;969;19.569;0.528;10.332432;-0.028072
18/07/2023;19:26:32;21;14190;4819;20053;-2;467;27;402;21076;944;20.053;0.402;8.061306;-0.02838
18/07/2023;19:36:32;21;14135;4819;20108;-2;615;26;336;20966;919;20.108;0.336;6.756288;-0.02827
18/07/2023;19:46:32;21;14091;4819;20053;-3;693;27;305;20801;891;20.053;0.305;6.116165;-0.042273
18/07/2023;19:56:32;21;14091;4819;20053;-2;641;26;280;20801;860;20.053;0.28;5.61484;-0.028182
18/07/2023;20:06:32;21;14135;4819;19998;-2;638;26;267;20757;825;19.998;0.267;5.339466;-0.02827
18/07/2023;20:16:32;21;14190;4819;20163;-3;639;26;257;20966;788;20.163;0.257;5.181891;-0.04257
18/07/2023;20:26:32;21;14190;4819;20328;-3;638;27;274;21131;748;20.328;0.274;5.569872;-0.04257
18/07/2023;20:36:32;21;14245;4941;20427;-2;389;26;197;21021;708;20.427;0.197;4.024119;-0.02849
18/07/2023;20:46:32;21;14245;5063;20647;-2;153;27;98;20911;664;20.647;0.098;2.023406;-0.02849
18/07/2023;20:56:32;21;14190;4819;20372;0;456;26;198;21021;617;20.372;0.198;4.033656;0
18/07/2023;21:06:32;21;14190;4819;20372;0;458;26;194;21076;567;20.372;0.194;3.952168;0
18/07/2023;21:16:32;21;13871;4819;17314;0;459;27;137;20911;298;17.314;0.137;2.372018;0
18/07/2023;21:26:32;21;13123;4819;14190;0;459;27;41;19844;43;14.19;0.041;0.58179;0
18/07/2023;21:36:32;21;13013;4819;13816;0;456;27;36;18766;37;13.816;0.036;0.497376;0
18/07/2023;21:46:32;21;13013;4819;13761;0;452;27;30;18491;32;13.761;0.03;0.41283;0
18/07/2023;21:56:32;21;12958;4819;13607;-3;586;28;25;18282;27;13.607;0.025;0.340175;-0.038874
18/07/2023;22:06:32;21;12958;4819;13497;-3;610;27;20;17952;22;13.497;0.02;0.26994;-0.038874
18/07/2023;22:16:32;21;12958;4819;13497;-3;613;27;14;17259;16;13.497;0.014;0.188958;-0.038874
18/07/2023;22:26:32;21;12958;4819;13123;-3;611;27;7;15697;9;13.123;0.007;0.091861;-0.038874
18/07/2023;22:36:32;21;12958;4819;12529;-3;613;27;3;12738;5;12.529;0.003;0.037587;-0.038874
18/07/2023;22:46:32;21;12958;4819;6930;-3;613;27;3;5753;3;6.93;0.003;0.02079;-0.038874
18/07/2023;22:56:32;21;12958;4819;748;-3;584;26;2;539;2;0.748;0.002;0.001496;-0.038874
18/07/2023;23:06:32;21;12848;4819;55;152;561;26;0;55;0;0.055;0;0;1.952896
